,Participant ID,Referent,Speech,Feature,Adjectives SpaCy,Unnamed: 5,Adjectives_Spacy
134,34C-R1,2, dog likes to play with bones.,L+F,,,
135,34C-R1,3, they like to eat bone sighs.,F,,,
136,34C-R1,4," I think that's it, all I can tell about them.",I,,,
137,34C-R1,Turtle,nan,,,,
138,34C-R1,1, a turtle.,L,,,
139,55C-R21,3,        no  quietly.,,,,
140,34C-R1,2, has four legs.,F,,,
141,34C-R1,3, you can't even see this one.,P,four,,
142,34C-R1,4, and it's here.,P,,,
143,55C-R77,3,"        not, really.",,,,
144,34C-R1,5, this is his shell  indicating on page.,P,,,
145,55C-R92,2,        um they +...,,,,
146,34C-R1,6, and that's it.,I,,,
147,55C-R94,4,        I don't ? have anything.,,,,
148,34C-R1,7, mm his tail has sharp .,P,sharp,,['sharp']
149,34C-R1,8, and I think turnspage.,,,,
150,34C-R1,Ladybug,nan,,,,
151,34C-R1,1, ladybug.,L,,,
152,55C-R132,2,        I'm not sure if I have anything.,,,,['sure']
153,55C-R133,3,        so +...,,,,
154,34C-R1,2, they have big black spots.,P,"big
black",,"['big', 'black']"
155,55C-R138,5,        I don't think I have anything.,,,,
156,34C-R1,3, four legs.,P,four,,
157,34C-R1,4, um um this red stuff.,P,red,,['red']
158,34C-R1,5, they could fly.,F,A,,
159,34C-R1,6, and um this black white and black and all that stuff.,P,"white
black",,['black']
160,34C-R1,7, and I think that's it turnspage.,I,A,,
161,61C-R90,7,        go ah.,,,,
162,34C-R1,8, mm I think that's it I could tell.,,,,
163,34C-R1,9, I think that's it that's in my mind.,,,,
164,61C-R98,12,        and I have Tonka Joe and Tonka Town.,,,,
165,61C-R99,13,        Tonka Town is just Tonka Tonka trucks and Tonka buildings.,,,,
166,61C-R100,14,        but Tonka Joe is different (be)cause it's all just the real thing.,,,,"['different', 'real']"
167,61C-R101,15,        it's Tonka Joe who can talk.,,,,
168,61C-R102,16,        and it's plain buildings that don't talk.,,,,['plain']
169,61C-R103,17,        and <vehicles> ? that don't talk.,,,,
170,61C-R109,20,        like .,,,,
171,61C-R113,23,        (be)cause then .,,,,
172,61C-R117,26,        firstname who's in my school still once brought us a book about that.,,,,
173,61C-R118,27,        and and he said that that divers trying to shoot the shark.,,,,
174,61C-R120,28,        and then I came over and I heard that and looked at the shooter.,,,,
175,61C-R122,29,        and looked +...,,,,
176,61C-R123,30,        and and Darth Vader's army who's really Anakin have blasters like,,,,
177,61C-R126,31,        then they pull this back and makesshootingnoises.,,,,
178,61C-R127,32,        and guess what.,,,,
179,61C-R129,33,"        so Han Solo and and Luke who was who was the one who was going to,",,,,
180,61C-R132,34,        and he blew up the bu- the Darth Sidious in the in the Death Star.,,,,
181,61C-R134,35,        and +...,,,,
182,08C-R1,Cat,nan,,,,
183,08C-R1,1,        a kitty.,L,,label,
184,61C-R141,4,        and a pumpkin.,AE(L),,,
185,61C-R144,5,"        hm and that's a, a half fence and that's half house and that's a farm.",AE(L),,,"['half', 'half']"
186,61C-R146,6,        and that's grass.,AE(L),,,
187,08C-R1,2,        it has stripes.,P,,stripe,
188,61C-R226,3,        and guess what.,,,,
189,61C-R228,4,        I have a new Dora called Dora Dance to the Rescue.,,,,['new']
190,61C-R230,5,        to rescue Swiper from in the bottles so when he so when Swiper the fox got dancing elves out of the magic bottle Swiper went in.,,,,['magic']
191,08C-R1,3,        and it has a stripe- it has stripes on the foot.,P,,spatial relation,
192,08C-R1,4,"        it has, one two three four legs.",P,,quantity,
193,08C-R1,5,"        and, yeah.",,,,
194,08C-R1,skunk,nan,,,,
195,61C-R241,12,        and then Harry Potter +...,,,,
196,61C-R242,13,        harry Potter's a wizard but guess what.,,,,
197,61C-R244,14,        harry Potter has to live with the Dursy- Dursley's.,,,,
198,61C-R245,15,        because guess what.,,,,
199,61C-R247,16,        voldemort killed Harry Potter's parents.,,,,
200,61C-R249,17,        and now we didn't find the <wand> ? when they killed his parents.,,,,
201,61C-R250,18,        we have to look at watch all of them to see how he killed his parents.,,,,
202,61C-R252,19,        that's how we can find it.,,,,
203,08C-R1,2,"        um, I have a beanie baby skunk.",I+T,,experience+subordinate,
204,08C-R1,3,        <a beanie baby one> ?.,,,,
205,08C-R1,4,        what?,,,,
206,61C-R392,2,        and I think the +...,,,,
207,08C-R1,6,        it has white stuff.,P,white,color,['white']
208,08C-R1,7,"        and, it has pointy <stuff on it> ?.",P,pointy,pointy+spatial relation,['pointy']
209,08C-R1,8,        and it stinks.,P,,stink,
210,61C-R401,7,        (o)kay like that.,,,,
211,08C-R1,9,        and it's all black.,P,black,,['black']
212,08C-R1,10,        a little is white.,P,white little,,"['little', 'white']"
213,08C-R1,parrot,nan,,,,
214,08C-R1,1,        a parrot.,L,,label,
215,08C-R1,2,        um it has a bunch of blue and green.,P,blue green,color,['blue']
216,08C-R1,3,        green here and green here.,P,green,,"['green', 'green']"
217,08C-R1,4,        yellow and yellow.,P,yellow,color,"['yellow', 'yellow']"
218,08C-R1,5,        and it's um he's standing on something.,P,,entity behavior+spatial relation,
219,08C-R1,7,        and it has ears ?.,P,,sysetmic property,
220,08C-R1,8,        bunch of .,,,,
221,08C-R1,dolphin,nan,,,,
222,08C-R1,1,        next one what is I know this one.,I,,,['next']
223,08C-R1,2,        um a a dolphin or a whale.,T+L,,coordinate+label,
224,08C-R1,3,        um it has a bunch of black and white on the bottom.,P,black white,color+spatial relation1,
225,08C-R1,4,        I guess it's a whale.,L,,,
226,08C-R1,5,"        and it's swimming in, a lake.",P,,swim+spatial relation2,
227,08C-R1,6,        that has a bunch of ⌊water⌋.,AE(P),,water,
228,3C-R290,6,        ⌈but⌉ +...,,,,
229,3C-R294,8,        oh ah no that's not all I know actually!,,,,
230,3C-R295,9,        this is what I know.,,,,
231,08C-R1,7,        I'm finished.,,,,['finished']
232,08C-R1,Butterfly,nan,,,,
233,08C-R1,2,        it has dots on here and orange ⌈on it⌉.,P,orange,spatial relation+color,
234,08C-R1,3,        a bunch of orange.,P,orange,quantity-color,
235,44C-R1,Alligator,nan,,,,
236,44C-R1,1,        a alligator.,,,,
237,3C-R312,19,        but that's all I know about clowns.,,,,
238,44C-R1,2,        alligator is bad.,,bad,,['bad']
239,44C-R1,3,        what else can you tell me?,,,,
240,44C-R1,4,        alligator have sharp claw.,,sharp,,['sharp']
241,4C-R115,2,        can ⌊you⌋ +...,,,,
242,44C-R1,Horse,nan,,,,
243,4C-R119,4,        why can't you tell me some?,,,,
244,4C-R121,5,        and I want to hear what you too.,,,,
245,4C-R123,6,        I think you first.,,,,
246,44C-R1,1,        a horsie.,,,,
247,4C-R130,9,        I don't know either.,,,,
248,44C-R1,2,        horsie giddy-up.,,,,['giddy']
249,4C-R140,3,        but you tell me now.,,,,
250,4C-R145,4,"        I don't know what the, I don't know what to tell you.",,,,
251,4C-R148,5,        um.,,,,
252,4C-R152,6,        shrugs I don't.,,,,
253,44C-R1,3,        horsie's have tails.,,,,
254,44C-R1,Elephant,nan,,,,
255,4C-R212,4,        I think it's your turn now.,,,,
256,4C-R214,5,        nods ⌈  yes⌉.,,,,
257,4C-R218,6,        well it's after my ⌊turn⌋.,,,,
258,4C-R219,7,        well it's after my turn.,,,,
259,44C-R1,1,        a elephant.,,,,
260,44C-R1,2,        elephant has a long trunk.,,long,,['long']
261,44C-R1,3,        it has a neck.,,,,
262,4C-R292,5,        and this.,,,,
263,44C-R1,4,        the elephant is big.,,big,,['big']
264,4C-R294,7,        and it ha- supposed to be here.,,,,
265,4C-R295,8,        and this supposed to be +...,,,,
266,44C-R1,Lobster,nan,,,,
267,4C-R298,10,        no you tell me.,,,,
268,4C-R300,11,        I want you to tell me.,,,,
269,4C-R303,12,        can you please tell me?,,,,
270,44C-R1,1,        a crab.,,,,
271,44C-R1,2,        the crab has claw.,,,,
272,5C-R23,2,        .,,,,
273,5C-R24,3,        <what that thing at right there> ?.,,,,
274,5C-R26,4,        <what that thing at right there> ?.,,,,
275,5C-R73,3,"        well I don't know much about that, either.",,,,['much']
276,5C-R87,4,        .,,,,
277,44C-R1,6,        I don't know what else.,,,,
278,6C-R3,1, what's this about?,,,,
279,6C-R5,2, a person and a cane.,L+AE(L),,,
280,6C-R8,3," ⌊does⌋, does does is um what's his name again?",,,,
281,6C-R10,4, what's his name again?,,,,
282,6C-R12,5,  does Zorg know anything about this?,,,,
283,44C-R1,7,        the crab is a crab.,,,,
284,6C-R53,1, I think  Zorg .,,,,
285,44C-R1,Penguin,nan,,,,
286,44C-R1,1,        a penguin.,,,,
287,44C-R1,2,        the penguin swims when it's cold.,,cold,,['cold']
288,6C-R121,1, what's that?,,,,
289,44C-R1,3,        the penguin likes swimming in the water when it's cold outside.,,cold,,['cold']
290,5C-R1,Butterfly,nan,,,,
291,5C-R1,1,        ladybug.,T,,,
292,5C-R1,2,        and they fly.,F,,,
293,5C-R1,3,        fly fast.,F+I,,,
294,5C-R1,4,        maybe that's not a ladybug.,T,,,
295,5C-R1,6,        they fly.,F,,,
296,5C-R1,7,        and what are those things for pointspage?,F,,,
297,5C-R1,Dolphin,nan,,,,
298,6C-R253,6, yeah.,,,,
299,5C-R1,1,        a dolphin.,L,,,
300,5C-R1,2,        they swim in the ? oceans.,P,,,
301,12C-R27,1,        painting.,AE(L),,,
302,12C-R29,2,"        you paint uh trees, uh waterslides birds hey that's what I have.",P+AE(L)+F+I,,,
303,5C-R1,Skunk,nan,,,,
304,12C-R33,5,        .,,,,
305,12C-R38,6,        shrugs.,,,,
306,5C-R1,1,        yuck!,I,,,
307,5C-R1,2,"        that's a, those, those things stink pinchesnose.",P,,,
308,5C-R1,3,        yeah (be)cause they're skunks.,L,,,
309,5C-R1,4,        well they really stink bad.,P,bad,,
310,12C-R90,6,        this guy pointingtoZorg?,,,,
311,12C-R92,7,        okay.,,,,
312,5C-R1,5,        well they stink bad.,P,,,
313,5C-R1,6,        ew.,I,,,
314,12C-R226,3,        let me think.,,,,
315,5C-R1,7,        yuck.,I,,,
316,12C-R229,5,        I don't know my .,,,,
317,12C-R231,6,        probably you think.,,,,
318,12C-R235,8,        probably .,,,,
319,12C-R282,1,        treasure.,AE(L),,,
320,12C-R284,2,"        uh, you find treasure.",AE(F)+AE(L),,,
321,12C-R285,3,        there's quarters in treasure.,AE(P)+AE(L),,,
322,12C-R287,4,"        and, dollars.",AE(P),,,
323,12C-R288,5,        um you have a key in it.,AE(P),,,
324,12C-R289,6,        there's jewelry in it.,AE(P),,,
325,12C-R291,7,"        um, it's a treasure chest.",AE(L),,,
326,5C-R1,8,        fuzzy tails.,P,fuzzy,,['fuzzy']
327,5C-R1,9,        do these ones hunt for food?,F,,,
328,5C-R1,Cat,nan,,,,
329,5C-R1,1,        kitty.,L,,,
330,5C-R1,2,        I love kitties you know.,I+L,,,
331,5C-R1,3,        kitties.,L,,,
332,5C-R1,4,        I love kitties you know.,I+L,,,
333,16C-R61,8,"        they're royal, but I think I know.",,,,['royal']
334,5C-R1,5,        kitties are soft and furry.,P+L,"soft
furry",,"['soft', 'furry']"
335,5C-R1,6,        they like cat food.,F,,,
336,5C-R1,Parrot,nan,,,,
337,5C-R1,1,        a parrot.,L,,,
338,5C-R1,2,        I love parrot parrots the most.,I+L,,,
339,5C-R1,4,        parrots need to be on sticks.,P+L,,,
340,16C-R123,5,        yeah I'm trying my best.,,,,['best']
341,5C-R1,5,        when they're hungry they come off of the sticks and eat.,F,,,['hungry']
342,16C-R126,7,        I think that's all about the man.,,,,
343,16C-R128,8,        oh sorry Zorg.,,,,
344,16C-R129,9,        I just flipped him in the nose.,,,,
345,16C-R157,1,        okay.,,,,
346,16C-R169,2,        oh yeah.,,,,
347,5C-R1,6,        and they got beaks.,P,,,
348,5C-R1,7,        you see pointspicture?,,,,
349,16C-R176,1,        it's a painting.,,,,
350,16C-R178,2,        the painting has vegetables in it and and a farmer.,AE(T)+L,,,
351,16C-R179,3,        and and a gate and grass and and a barn and and a her ? house.,AE(L),,,
352,16C-R181,4,        and and a pumpkin and carrots.,AE(L),,,
353,16C-R182,5,        and and and tomatoes and lettuce.,AE(L),,,
354,16C-R183,6,        and and a pumpkin.,AE(L),,,
355,16C-R185,7,        that's just all ?.,,,,
356,5C-R1,8,        and what's that on top it's head?,P,,,
357,5C-R1,9,        I think hair.,P,,,
358,22C-R1,Puppy,nan,,,,
359,22C-R1,1, a bear.,L,,,
360,22C-R1,2, um it's a baby.,P,,,
361,22C-R1,3, it's just standing there.,P,,,
362,22C-R1,Pig,nan,,,,
363,27C-R86,4,"        yeah but anyway, it's like a long stick that's made out of metal and that like has big black balls like bowling balls except their hard and they're heavier.",AE(P)+AE(T),,,"['long', 'big', 'black', 'hard', 'heavier']"
364,27C-R88,5,"        and I really, and they they make you strong.",AE(F),,,['strong']
365,22C-R1,1, a pig.,L,,,
366,22C-R1,2, they showed this um last night on food ⌊network⌋.,I+F,,,['last']
367,27C-R122,3,        no.,,,,
368,22C-R1,3, about pigs.,L,,,
369,22C-R1,4," you can make um a ceramic um, cooker.",I,ceramic,,['ceramic']
370,22C-R1,5, you just have to do two it's um actually a barbeque that's ceramic.,I,,,['ceramic']
371,22C-R1,6, you make it have you take it far apart.,I,,,
372,22C-R1,7, you put something that makes heat in then you put um the pot in then you put the rack you put another fire pot on and then you put a thermometer.,I,,,
373,27C-R163,6,        yeah.,,,,
374,22C-R1,Duck,nan,,,,
375,22C-R1,1, a duck.,L,,,
376,22C-R1,2, ducks have these feet to help them walk.,L+P+F,P,,
377,22C-R1,3, and and something in Eqypt there are ducks in this restaurant called  and I throw bread to the ⌊ducks⌋.,I+L+F,A,,
378,22C-R1,Ladybug,nan,,,,
379,22C-R1,1, a ladybug.,L,,,
380,22C-R1,2, it has legs to help it crawl.,P+F,P,,
381,22C-R1,3, this is a ladybug.,L,,,
382,22C-R1,Turtle,nan,,,,
383,27C-R244,5,        right?,,,,['right']
384,27C-R245,6,        right?,,,,['right']
385,22C-R1,1, a turtle.,L,,,
386,22C-R1,2, it has claws.,P,,,
387,22C-R1,3, there's a big tortoise that walks on land.,L+P+F,big,,['big']
388,22C-R1,4, it's called Franklin.,I,,,
389,22C-R1,5, it's a huge tortoise.,L+P,huge,,['huge']
390,22C-R1,6, it's almost as big as that whole couch.,P+T,whole,,"['big', 'whole']"
391,31C-R8,3,"        hm, um, uh, I'm not sure of what else I should tell him.",,,,['sure']
392,31C-R14,5,        hm.,,,,
393,31C-R16,6,        I don't actually know.,,,,
394,22C-R1,7,  this is a turtle.,L,,,
395,36C-R1,Turtle ,nan,,,,
396,36C-R1,1,        um a turtle.,L,,,
397,36C-R1,2,        he can go underwater.,F,,,
398,31C-R34,15,        it she's always pulling my chair out.,,,,
399,31C-R36,16,        I don't actually know anything about that one.,,,,
400,36C-R1,3,        he can swim.,F,,,
401,36C-R1,4,        and he's got a shell.,P,,,
402,36C-R1,5,        and he can go inside it.,F,,,
403,36C-R1,6,        so he won't be afraid of anything.,I,,,['afraid']
404,31C-R119,1,        hm.,,,,
405,31C-R124,4,        I don't know.,,,,
406,31C-R129,7,        I don't actually know anything.,,,,
407,31C-R132,8,        I don't actually know much about it either.,,,,['much']
408,31C-R133,9,        I don't actually I actually I don't know anything about it.,,,,
409,31C-R135,10,        I don't actually know what I I don't actually know anything about about this one either.,,,,
410,31C-R136,11,        I don't know anything.,,,,
411,31C-R137,12,        I don't actually really know.,,,,
412,36C-R1,7,        well you know what?,,,,
413,36C-R1,8,        he gotta learn to swim underwater with the turtle and the fish and a crab.,I+L+T+F,,underwater???,
414,36C-R1,9,"        I can, I can go underwater at my grandma's beach.",I,,,
415,31C-R197,2,        drives the plane.,P+AE(P),,,
416,31C-R201,4,        I don't know.,,,,
417,36C-R1,10,        but I can't go in the deep water.,I,deep,,['deep']
418,37C-R52,1,        uh oh.,,,,
419,36C-R1,11,        (be)cause that scares me and my brother.,I,,,
420,37C-R56,3,        a truck I ⌊think⌋.,AE(L),,,
421,37C-R57,4,        what kind of truck is this?,AE(T),,,
422,37C-R60,5,        ⌊<like a> ?⌋ +...,,,,
423,37C-R61,6,        like a police truck.,AE(T)+AE(L),,,
424,36C-R1,12,        and I but turtles and crabs can.,L+T+F,,,
425,36C-R1,13,        I got goggles to see.,I,,,
426,36C-R1,14,        and they're pretty and they're green.,I+P,"pretty 
green",,"['pretty', 'green']"
427,36C-R1,15,        I like them all.,I,,,
428,37C-R80,16,        yeah.,,,,
429,36C-R1,16,        so that's what turtles are all about.,L,,,
430,37C-R82,18,        huh.,,,,
431,36C-R1,pig,nan,,,,
432,36C-R1,1,        pig.,L,,,
433,37C-R86,21,        then there will be no +...,,,,
434,36C-R1,2,        pig.,L,,,
435,36C-R1,3,        he's a cow pig.,T,,,
436,36C-R1,4,        see the spots?,P,,,
437,36C-R1,5,         cow pig.,T,,,
438,37C-R94,27,        you know we had a yucky green day out day and and it was raining.,,,,"['yucky', 'green']"
439,37C-R95,28,        and hail hail come down <like that> ?.,,,,
440,37C-R97,29,        we're gonna go on a vacation.,,,,
441,37C-R98,30,        like at the beach.,,,,
442,37C-R100,31,        and we go to the store and buy stuff for it.,,,,
443,37C-R102,32,        we have six more days.,,,,['more']
444,37C-R104,33,        what else is about this?,,,,
445,36C-R1,6,        cow pigs do like this snorts.,T+P,,,
446,37C-R108,36,        and get the bad guys and pull it out of the sand and take it to its truck.,F+AE(F),,,['bad']
447,37C-R111,38,        yeah.,,,,
448,37C-R112,39,"        that's, what I know.",,,,
449,36C-R1,7,        they make funny noises.,P+F,,,['funny']
450,37C-R183,2,        he can lift up this.,F+AE(F),,,
451,36C-R1,8,        you gotta learn to snort like a pig snorts.,I+P+L,,,
452,36C-R1,duck,nan,,,,
453,36C-R1,1,        that's a duck.,L,,,
454,36C-R1,2,        I can sound like a duck.,I+L+F,,,
455,36C-R1,3,        quack quack.,P,,,
456,37C-R199,10,        yeah.,,,,
457,37C-R200,11,        okay.,,,,
458,37C-R201,12,        why was he in the box?,,,,
459,37C-R203,13,        that's his home?,,,,
460,37C-R205,14,        he lives in a box?,,,,
461,37C-R207,15,        I know a pig that lives in a box.,,,,
462,37C-R209,16,        some pigs do that can talk.,,,,
463,37C-R211,17,        yeah.,,,,
464,37C-R212,18,        I saw one on a on tv at our house.,,,,
465,37C-R213,19,        we live at   city.,,,,
466,37C-R214,20,        right next to that .,,,,
467,37C-R216,21,"        and we have a next neighbors name is, there's Firstname, Firstname and Firstname.",,,,['next']
468,37C-R217,22,        um but that's all that I know.,,,,
469,36C-R1,4,        well if this duck learns how to quack he can quack like this.,L+F+P,,,
470,36C-R1,5,        quack Quack.,P,,,
471,36C-R1,6,        so he's a good duck makesZorgquack.,I+L,good,,['good']
472,36C-R1,7,        you already know how to quack like a duck now quack,I+F+L+P,,,
473,37C-R235,6,"        yeah, they do.",,,,
474,36C-R1,8,        well if ? you have to quack like a duck.,I+P+L,,,
475,37C-R251,2,        that's all that I +...,,,,
476,36C-R1,9,        quack.,P,,,
477,36C-R1,puppy,nan,,,,
478,37C-R258,4,        I think they do.,,,,
479,36C-R1,2,        puppy doggie.,L,,,
480,36C-R1,3,        he looks pretty.,P+I,pretty,,['pretty']
481,36C-R1,4,        well the doggie barks barks.,L+P,,,
482,37C-R269,10,        everything.,,,,
483,36C-R1,5,        my doggie doesn't like to be picked up.,I+L,,,
484,37C-R566,2,"        man riding on, what is this kind of board?",L+P+AE(T),,,
485,37C-R567,3,        I don't know what kind of board this is.,AE(I)+AE(T),,,
486,36C-R1,6,        so he's a CavelierKingCharlesSpaniel <kind of dog> ?.,T,,,
487,36C-R1,7,        well you need to bark like a puppy barks.,I+P+L,,,
488,36C-R1,ladybug,nan,,,,
