,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
37,70C-R50,4,"        and he, he, and he's the engine.",L,,
38,70C-R51,5,"        and, he drives the train.",F,,
39,70C-R95,Football Player,nan,,,
40,70C-R96,1,        a football player.,L,,
41,70C-R97,2,        he has a football.,P,,
42,70C-R98,3,"        and he, and maybe he will win.",F,,
43,70C-R100,Teacher,nan,,,
44,70C-R102,1,        a teacher.,L,,
45,70C-R103,2,        she teaches kids.,F,,
46,22C-R47,Doctor,nan,,,
47,22C-R48,1, a doctor.,L,,
48,22C-R50,2, um she operates.,F,,
49,22C-R53,3, she helps people.,F,,
50,22C-R54,Painter,nan,,,
51,22C-R56,1, an artist.,L,,
52,22C-R58,2, she paints.,P,,
53,22C-R59,3, and she always looks at what she's doing.,P,,
54,22C-R76,Baby,nan,,,
55,22C-R78,1, a baby.,L,,
56,22C-R80,2," he looks just like my ⌈bother⌉, when he was tiny .",I+T+P,tiny,['tiny']
57,22C-R92,Baseball Player,nan,,,
58,22C-R108,Pirate,nan,,,
59,29C-R29,Pilot,nan,,,
60,29C-R31,1," mm, a a plane guy.",L,,
61,29C-R34,2," and then uh, last night when I was um a baby I went on one to Florida.",I,,['last']
62,29C-R35,3, and then I fell asleep.,I,,['asleep']
63,29C-R37,4, and then when I woke up we were there and mommy was just carrying me.,I,,
64,29C-R41,5," mm, and then um, and then we land and it make a big sound and I like woke up and then Mom pick me up and then that's when I woke up.",I,,['big']
65,29C-R42,6, she was holding me.,I,,
66,29C-R44,Teacher,nan,,,
67,29C-R46,1, a teacher.,L,,
68,29C-R48,2," and um, last night I went to my new school I'm going to go to when I get this many holdsupfivefingers (be)cause I'm four and I'm almost that many holdsupfivefingers.",I,,"['last', 'new', 'many', 'many']"
69,29C-R50,3," and, and, and last night, I went to but that was a long time ago and then we when we got home I wanted to play my StarWars game more.",I,,"['last', 'long']"
70,29C-R54,4," and then uh, when I was driving um, my schools like really really close but I can still walk there but my friend Firstname he he just got a new house so he can't walk there now.",I,,"['close', 'new']"
71,29C-R55,5, (ex)cept he's all done with school but I'm still done.,I,,
72,29C-R56,6, now I'm done with school.,I,,
73,29C-R74,Football Player,nan,,,
74,29C-R79,2," um, last night uh, I my dad and mom um I mean my daddy and he went with um his friend to there to a football and (be)cause I didn't go I stayed home with my mom.",I,,['last']
75,29C-R80,3," and then um, then uh, then um I played my StarWars game for a little bit.",I,,['little']
76,29C-R81,4, and then I like paused it and I played a little bit.,I,,['little']
77,29C-R82,5, and then like later ? I climbed up my furniture but my mom didn't even care (be)cause her didn't know.,I,,
78,29C-R83,6, but just didn't want me to climb on the table furniture.,I,,
79,29C-R84,7, that's all but.,I,,
80,29C-R86,Witch,nan,,,
81,29C-R88,1, a witch.,L,,
82,29C-R90,2," um, last night um, um, last night um we watched a funny show and then was just something ? with a witch on.",I+L,,"['last', 'last', 'funny']"
83,29C-R91,3," and then uh, and then uh, and then um, and then uh, and then, and then a person walked and he walked into the witches house because he didn't even know that was the witch house.",I+L,,
84,29C-R94,4," and then, I watched one and then her opened up the door and then her went in the kitchen and then um uh, and then uh, and then uh, and then and then the the guys no hair ? came and he and then the polar bear like scared the guys ? and hit him.",I,,['polar']
85,29C-R95,5, and then we watched another part and the other part's when those ones.,I,,['other']
86,29C-R178,Clown,nan,,,
87,29C-R180,1, a clown.,L,,
88,29C-R182,2, last night um when we went to a play (be)cause Firstname um there was a clown and I was a little scared of it.,I+L,,"['last', 'little', 'scared']"
89,29C-R183,3, I just ran and hide.,I,,
90,29C-R185,4, I wasn't really scared of all of them just some of (th)em.,I,,['scared']
91,29C-R187,5," and then um, and then uh, then last time uh, um, I saw one but he had candy and he gave some to me and I was even scared of that one.",I,,"['last', 'scared']"
92,34C-R42,Baseball Player,nan,,,
93,34C-R45,2, I think that I know a ? lot lot about the other things.,I,,['other']
94,34C-R50,4, um a basket um baseball man.,L,,
95,34C-R61,5, they play basketball a lot.,F,,
96,34C-R63,6, all the people came to watch them.,F,,
97,34C-R65,8, I think that's it I say about them.,I,,
98,34C-R119,Doctor,nan,,,
99,34C-R121,1, a doctor.,L,,
100,34C-R122,2, when I grow up I'm gonna be like that.,I,,
101,34C-R125,3, when people get sick they take care of (th)em.,F,,['sick']
102,34C-R127,4, um mm I think that's it to tell about them.,I,,
103,34C-R131,Painter,nan,,,
104,34C-R133,1, a painter.,L,,
105,34C-R135,2, they paint a lot.,F,,
106,34C-R138,3," um, hm I think that's it tell about them.",I,,
107,34C-R147,Baby,nan,,,
108,34C-R149,1, a baby.,L,,
109,34C-R151,2, um babies could um.,L,,
110,34C-R152,3, I think there's nothing about babies.,I+L,,
111,34C-R159,5, babies um like to play with toys a lot.,F+L,,
112,34C-R181,Pirate,nan,,,
113,34C-R183,1, pirate man having a um a parrot.,L+P,,['pirate']
114,34C-R184,2,golden,P,,['golden']
115,34C-R185,3, and um I think that's it.,I,,
116,34C-R187,4, mm he has a parrot on <his head> ?.,P,,
117,34C-R188,5, kind of treasure.,P,,
118,34C-R189,6, coins.,P,,
119,34C-R190,7, treasure box.,P,,
120,34C-R191,8, a necklace I think.,P,,
121,38C-R1,Farmer (A),Speech,Which feature is questioned or emphasized,,
122,38C-R3,1,        farmer.,L,,
123,38C-R5,2,        they plant vegetables.,F,,
124,38C-R12,King,nan,,,
125,38C-R14,1,        king.,L,,
126,38C-R16,2,        I don't know anything about him.,I,,
127,38C-R70,Police Officer,nan,,,
128,38C-R72,1,        police.,L,,
129,38C-R74,2,        I don't know really anything about police.,I+L,,
130,38C-R77,3,"        mm, they lead the roads.",F,,
131,38C-R115,Weightlifter,nan,,,
132,38C-R117,1,"        uh, working out man.",L,working out,
133,38C-R121,2,        I can't think of anything else about this.,I,,
134,38C-R125,Surfer,nan,,,
135,38C-R127,1,        surfing.,L,,
136,38C-R129,2,        they <love this> ?.,P,,
137,38C-R130,3,        and you surf on the water.,F,,
138,45C-R25,Old Woman,nan,,,
139,45C-R27,1,        a lady.,L,,
140,45C-R29,2,"        look's like she's old (be)cause he has, (be)cause she has that pointscane.",P,old,['old']
141,45C-R34,3,        old.,P,,['old']
142,45C-R42,1,        a bird.,L,,
143,45C-R45,2,        it's on a pirate's shoulder.,P,,
144,45C-R50,4,        it flies and where pirates are.,F,,
145,45C-R54,Judge,nan,,,
146,45C-R55,1,        somebody in his office.,P,,
147,45C-R59,3,        that's why I know it's his office.,I,,
148,45C-R65,Ballerina,nan,,,
149,45C-R67,1,        I'm no- I'm never gonna be that.,I,,
150,45C-R70,2,"        besides, it's a ballerina.",L,,
151,45C-R71,3,        looks like one.,P,,
152,45C-R75,4,        dancing on her toes.,P,,
153,45C-R139,Firefighter,nan,,,
154,45C-R140,1,        fighterfighter.,L,,
155,45C-R154,2,        a fighterfighter.,L,,
156,45C-R156,3,        it sprays fires out.,P,,
157,45C-R159,4,"        saves cats, up in a tree.",F,,
158,45C-R208,Race Car Driver,nan,,,
159,45C-R210,1,        baseball.,L,,
160,45C-R211,2,        and a baseball player.,L,,
161,45C-R230,Judge,nan,,,
162,45C-R231,6,"        it's way back, way back at the office.",P,,
163,45C-R233,Judge,nan,,,
164,45C-R234,7,        way back at the office.,P,,
165,45C-R243,Old Woman,nan,,,
166,45C-R244,5,        lady.,L,,
167,45C-R245,Judge,nan,,,
168,45C-R246,8,        office.,P,,
169,45C-R247,9,        I'm pretty tricky.,I,,['tricky']
170,45C-R250,3,        bike.,L,,
171,45C-R251,Judge,nan,,,
172,45C-R252,10,        office.,P,,
173,45C-R254,4,        bike.,L,,
174,45C-R255,Judge,nan,,,
175,45C-R256,11,        office.,P,,
176,45C-R258,5,        bike.,L,,
177,45C-R259,Judge,nan,,,
178,45C-R260,12,        office.,P,,
179,55C-R14,King,nan,,,
180,55C-R16,1,        king.,L,,
181,55C-R18,2,"        I can do the very, I don't think I know anything about that one.",I,,['very']
182,55C-R70,Farmer,nan,,,
183,55C-R72,1,        gardener.,L,,
184,55C-R74,2,        I don't really think I have anything to tell about it.,I,,
185,55C-R88,Police Officer,nan,,,
186,55C-R90,1,        police officer.,L,,
187,55C-R93,3,        I can't.,I,,
188,55C-R104,Surfer,nan,,,
189,55C-R106,1,        diver.,L,,
190,55C-R108,2,"        it, swims.",F,,
191,55C-R110,3,        I don't think there's anything else.,I,,
192,55C-R128,Weightlifter,nan,,,
193,55C-R130,1,"        um, I don't know.",I,,
194,55C-R135,4,        giant maybe.,L,giant,['giant']
195,61C-R80,Surfer,nan,,,
196,61C-R82,1,        surfing.,L,,
197,61C-R84,2,        there's a man surfing.,P,,
198,61C-R85,3,        but be careful not to go motionshandsfallingover.,F+I,,['careful']
199,61C-R86,4,        but don't surf upside down.,F+I,,
200,61C-R88,5,        (be)cause that'll be too dangerous.,F+I,,['dangerous']
201,61C-R89,6,        you'll fall off your surfer.,F,,
202,61C-R91,8,        you'll have to try and swim up.,F,,
203,61C-R92,9,"        but if you don't know how to swim and you're trying to surf and you fall in deep water, that won't be good.",F,,"['deep', 'good']"
204,61C-R94,10,        then the teacher who's teaching you will have to go whoosh,F,,
205,61C-R96,11,        and come in and get you out.,F,,
206,61C-R106,18,"        hm, well, you better watch out for too big of a wave or a shark.",F+I,,['big']
207,61C-R107,19,        because sharks can come right up and getcha.,F+I,,
208,61C-R110,21,        (be)cause they (be)cause when there's a shark comin(g) for ya you,F,,
209,61C-R112,22,        and sw- and surf right away and jump onto the shore (be)cause shar + ...,F,,
210,61C-R114,24,        and some divers bring blasters along and then blast the shark down.,F,,
211,61C-R116,25,        that's attacking them.,F,,
212,61C-R135,Farmer,nan,,,
213,61C-R137,1,        a picture.,P,,
214,61C-R139,2,        uh it's of a farmer who's a girl.,L+P,,
215,61C-R140,3,"        who's carrying a basket of all of tomatoes, carrots and, pumpkin.",P,,
216,61C-R221,King,nan,,,
217,61C-R223,1,        king.,L,,
218,61C-R225,2,        uh he wears a nice neat crown.,P,,"['nice', 'neat']"
219,61C-R233,6,        uh a king has a c- lives in a castle.,F+L,,
220,61C-R234,7,        and he has knights that battle dragons.,F,,
221,61C-R235,8,        so dragons do not battle kings.,F+L,,
222,61C-R236,9,        because kings do not battle.,F+L,,
223,61C-R238,10,"        but, strong magic kings do.",F+L,,"['strong', 'magic']"
224,61C-R239,11,"        because they have, magic kings can battle dragons because magic kings have magical power.",F+L,,"['magic', 'magic', 'magical']"
225,61C-R326,Police Officer,nan,,,
226,61C-R327,1,        that's a police woman.,L,,
227,61C-R329,2,        a police woman drives a police car or a police van.,P+L,,
228,61C-R330,3,"        or a police SUV, okay?",F,,['okay']
229,61C-R334,4,        they use                   guns.,F,,
230,61C-R335,5,        and bats to wack things.,F,,
231,61C-R336,6,        and they wear- radio and their flashlights.,P,,
232,61C-R337,7,        and cameras sometimes.,F,,
233,61C-R364,Weighlifter,nan,,,
234,61C-R365,1,"        the next one is a big, guy after the bunny.",P,,"['next', 'big']"
235,61C-R395,3,        a man.,L,,
236,61C-R397,4,        uh he has weights behind him.,P,,
237,61C-R398,5,        and right now he doesn't have weights in his hand.,P,,
238,61C-R399,6,"        he's do, this over his head like like that.",P,,
239,61C-R404,8,        uh it's a strong man.,L,strong,['strong']
240,61C-R405,9,        look at his muscles going just like that.,P,,
241,61C-R407,10,        and he just has half on to make people think he's tough.,F,,['tough']
242,3C-R114,Witch,nan,,,
243,3C-R116,1,        a witch.,L,,
244,3C-R118,2,"        witches have cats, and sin, cats, since cats can't be alone sometimes witches take their cats with them when they go outside and fly on their broomsticks.",F+P+L,,['alone']
245,3C-R119,3,        and they have a hat.,P,,
246,3C-R120,4,        but witches have green skin and they're monsters.,P+L+F,green,['green']
247,3C-R121,5,        that's all I know about it.,I,,
248,3C-R123,Pilot,nan,,,
249,3C-R125,1,        that's a pilot.,L,,
250,3C-R127,2,        um pilots sometimes you don't know what the buttons are for but I know that airp- I know about this pilot.,F+I+L,,
251,3C-R128,3,        pilots can know what the buttons are for because they drive the airplane.,F+P+L,,
252,3C-R129,4,        that's all I know.,I,,
253,3C-R206,Football Player,nan,,,
254,3C-R208,1,"        um, a girl that plays football.",L,,
255,3C-R210,2,"        girls that play football it's hard to throw it very far it's <just that> ? every day you play football you get you yes get more muscles and muscles until you until you can throw it pretendsthrow very far ⌈ to your⌉, all the way to the person that is your team.",I+F+L,,"['hard', 'more']"
256,3C-R212,3,        or that is not your team.,F,,
257,3C-R213,4,        but that's all I know about it.,I,,
258,3C-R215,Teacher,nan,,,
259,3C-R216,1,        okay let's try oh that's a teacher.,L,,
260,3C-R218,2,        teachers teach you things.,P+L+F,,
261,3C-R220,3,"        and teachers, teachers, teachers, teach you things at schools.",F+L,,
262,3C-R221,4,"        kindergarten- some teachers, some teacher- teachers live in kindergarten.",F+T+L,,
263,3C-R222,5,"        and, some of them, some of them um some teachers live in preschool.",F+T+L,,
264,3C-R223,6,        third grade.,F,,['third']
265,3C-R224,7,        that's all I know.,I,,
266,3C-R280,Clown,nan,,,
267,3C-R281,1,        oh that's a clown oh wavesarms!,L,,
268,3C-R283,2,"        but mom, I mean, do you know this?",I,,
269,3C-R285,3,"        um my dad he told my mo- I hear him say to my mom that when I was afraid of monsters, he heard me say that so he told my mom this.",I,,['afraid']
270,3C-R286,4,        when he was a boy he just woke up when he was sleeping and he saw a picture in his room and it was a picture of a clown.,I+L,,
271,3C-R288,5,"        it, it, it scared him.",I,,
272,3C-R293,7,        that's all I know.,I,,
273,3C-R296,10,        and this is a cool trick that a clown can do.,I+F+L,,['cool']
274,3C-R298,11,        juggle pretendsjuggle.,F,,
275,3C-R300,12,        but I don't know how to juggle.,I+F,,
276,3C-R302,13,        daddy can just do it with one ball.,I+F,,
277,3C-R304,14,        it's easy to do it with one ball.,I+F,,['easy']
278,3C-R305,15,        it's hard for me to do it with one ball.,I+F,,['hard']
279,3C-R306,16,        it's hard for me to do it with six balls too.,I+F,,['hard']
280,3C-R308,17,"        Arthur but, I know a cartoon and it's called Arthur and Arthur he can juggle just like a clown but he's not a clown.",I+T+F+L,,
281,3C-R310,18,        he can juggle six balls.,I+F,,
282,4C-R20,Witch,nan,,,
283,4C-R23,1,        I don't know about this one.,I,,
284,4C-R26,2,        no about this one.,I,,
285,4C-R111,Teacher,nan,,,
286,4C-R113,1,        a teacher.,L,,
287,4C-R117,3,        can you please tell me about the teacher?,L,,
288,4C-R125,7,        a teacher.,L,,
289,4C-R127,8,        I don't know.,I,,
290,4C-R135,Clown,nan,,,
291,4C-R136,1,        a clown.,L,,
292,4C-R139,2,        shrugs I don't know.,I,,
293,4C-R203,Pilot,nan,,,
294,4C-R205,1,        policeman.,L,,
295,4C-R207,2,        a policeman.,L,,
296,4C-R210,3,        shrugs you guess.,I,,
297,4C-R275,Footbal Player,nan,,,
298,4C-R277,1,        baseball player.,L,,
299,4C-R279,2,"        um it, it, it ha- it thr- it plays baseball.",P,,
300,4C-R289,3,"        um and, like, um it throws, it throws a football.",P,,
301,4C-R291,4,        and it ha- it's supposed to have these on  football gear.,P,,
302,4C-R293,6,        and this on.,P,,
303,4C-R296,9,        and um tell me if it's a boy or a girl.,T,,
304,4C-R306,13,        um it's a girl and I want to turn the page.,T,,
305,5C-R2,Race Car Driver,nan,,,
306,5C-R4,1,        race.,L,,
307,5C-R11,2,        um that's a race.,L,,
308,5C-R15,3,        um people  trying to race fast.,F+P+L,,
309,5C-R16,4,        swhoo.,P,,
310,5C-R18,Ballerina,nan,,,
311,5C-R20,1,        I don't know anything about this one.,I,,
312,5C-R66,Old Woman,nan,,,
313,5C-R67,1,        old lady <who's this old> ? !,P+L,old,"['old', 'old']"
314,5C-R69,2,"        you know, I don't know about old ladies, like that.",I+L,old,['old']
315,5C-R79,Firefighter,nan,,,
316,5C-R81,1,        a fireman!,L,,
317,5C-R83,2,        um they take out fire.,P,,
318,5C-R85,3,        and firemans <take out hot lava> ?.,F+L,,['hot']
319,5C-R115,Judge,nan,,,
320,5C-R117,1,        I I think that's a news guy.,L,,
321,5C-R119,2,        um I think he's from the news.,F,,
322,5C-R126,3,        you know I don't know much more about this guy.,I,,['more']
323,6C-R2,Old Woman,nan,,,
324,6C-R15,6," this is a person, Zorg.",L,,
325,6C-R16,7," and, persons, are humans.",T+L,,
326,6C-R18,8, I said persons are humans.,L,,
327,6C-R52,Ballerina,nan,,,
328,6C-R55,2,  this is a ballet girl.,L,,
329,6C-R56,3, she did ballet.,P,,
330,6C-R58,4, she wears tutus and and she picks and she and she has pretty she has pretty things when she does ballet.,P+I,pretty,"['pretty', 'pretty']"
331,6C-R61,5,  this is a ballet girl.,L,,
332,6C-R62,6, she does her tutus and she look pretty <when her> ? hair done and when she does ballet.,P+I,pretty,['pretty']
333,6C-R120,Judge,nan,,,
334,6C-R123,2, a ⌊police⌋?,T,,
335,6C-R125,3, or is it a judge.,L,,
336,6C-R127,4, I think it's a judge.,L,,
337,6C-R129,5, judges tell the police what's supposed to happen to people who've been bad.,F+L,,['bad']
338,6C-R131,6," well, if if they say if they say yes then they have to go to jail.",F,,
339,6C-R132,7, if they say no then they have-then they don't need to go to jail.,F,,
340,6C-R134,8," the police have to tell them, what-the judge has to tell them what he's supposed to do with the people.",F+T+L,,
341,6C-R138,9,"  this is, a judge.",L,,
342,6C-R139,10, he tells polices with bad guys have to go in jail or they don't need to.,F,,['bad']
343,6C-R201,Firefighter,nan,,,
344,6C-R202,1, a fireman.,L,,
345,6C-R204,2, a fireman fights fires.,P+L,,
346,6C-R206,3," and, they, when the when the house is on fire they they they they fight it.",F,,
347,6C-R210,4,  this is a fireman.,L,,
348,6C-R211,5, he fights fires in houses and +...,F,,
349,6C-R212,6, and that's a good thing to do.,P,,['good']
350,6C-R243,Race Car Driver,nan,,,
351,6C-R245,1, <this is cool> ?.,I,,['cool']
352,6C-R246,2, this is a race car thing.,L,,
353,6C-R247,3, and that's a race car and somebody going on a race and some more people going on a race pointspicture.,P,,['more']
354,6C-R249,4, they they they well the race car between car that you try to win.,F,,
355,6C-R250,5, and and he's sixteen.,P,,
356,6C-R254,7,"  this is when you car and you play a sport and while it's not a sport like you, like hit balls while you go in cars called a race car.",F+T,,
357,6C-R255,8," and, you and the car you go you go on roads try to win.",P+F,,
358,12C-R2,Baseball Player,nan,,,
359,12C-R4,1,        play baseball.,L,,
360,12C-R6,2,        I don't know about that.,I,,
361,12C-R25,Painter,nan,,,
362,12C-R30,3,        robins.,F,,
363,12C-R31,4,        and numbers.,F,,
364,12C-R39,7,        I don't know about that ?.,I,,
365,12C-R76,Baby,nan,,,
366,12C-R78,1,        a baby.,L,,
367,12C-R80,2,        she plays.,F,,
368,12C-R81,3,        and make bubbles.,F,,
369,12C-R83,4,"        and, wait I can make bubbles.",I+F,,
370,12C-R85,5,        I know laughs.,I,,
371,12C-R93,8,"        uh, she drinks bottles of milk.",F,,
372,12C-R95,9,        I love milk makesslurpingnoises.,I+F,,
373,12C-R219,Doctor,nan,,,
374,12C-R222,1,        shrugs  I don't know.,I,,
375,12C-R224,2,        shrugs I can't think what it is.,I,,
376,12C-R227,4,        no I don't know.,I,,
377,12C-R234,7,        shrugs I don't know what it's about.,I,,
378,12C-R280,Pirate,nan,,,
379,16C-R45,King,nan,,,
380,16C-R47,1,        a king.,L,,
381,16C-R49,2,        I don't know about kings.,I+L,,
382,16C-R50,3,        but they're royal.,P,,['royal']
383,16C-R55,4,        hm well I don't know about kings either.,L+I,,
384,16C-R57,5,        I don't really ? know about kings.,L+I,,
385,16C-R58,6,        queens are royal too.,T+P,,['royal']
386,16C-R59,7,        I don't know any about queens and kings.,I+T+L,,
387,16C-R67,King,nan,,,
388,16C-R68,1,        I don't know what to say about the king.,L+I,,
389,16C-R82,Police Officer,nan,,,
390,16C-R84,1,        it's a police officer.,L,,
391,16C-R86,2,                  ⌊police⌋.,L,,
392,16C-R87,3,        police officers oh sorry.,L,,['sorry']
393,16C-R88,4,        police officers are are are very important.,I+L,important,['important']
394,16C-R89,5,        when you when you when you get lost um just just just ask a a police officer for help.,F+L,,
395,16C-R91,6,        hm I think that's all about police officers.,I+L,,
396,16C-R115,Weightlifter,nan,,,
397,16C-R117,1,        a man.,L,,
398,16C-R118,2,        naked but his legs are not naked.,P,naked,"['naked', 'naked']"
399,16C-R119,3,        looks like he's gonna do some exercisin(g).,I+F,,
400,16C-R121,4,"        he's exercising and and, I don't know.",F+I,,
401,16C-R125,6,        I think that's all about the man.,I+L,,
402,16C-R155,Surfer,nan,,,
403,16C-R167,1,        I don't know.,I,,
404,16C-R171,3,        it's a boy sea surfing.,P+L,,
405,16C-R173,4,        I think that's all about th and I think that's all about the boy.,I+L,,
406,16C-R174,Farmer,nan,,,
407,27C-R38,Farmer,nan,,,
408,27C-R40,1,"        um, a farmer.",L,,
409,27C-R42,2,"        well, farmers they plant everything except their animals.",F+L,,
410,27C-R44,3,        they plant did you know sometimes the um if they live in the forest the wolves may the wolves might eat their sheep.,F,,
411,27C-R46,4,        so someone always have to watch out.,F,,
412,27C-R48,5,        watch watch the sheep.,F,,
413,27C-R50,6,        but the dog sometimes watches the sheep.,F,,
414,27C-R51,7,        because they can do alarms.,F,,
415,27C-R54,8,        so that's all I know about farmers.,I+L,,
416,27C-R78,Weightlifter,nan,,,
417,27C-R80,1,        a weight guy.,L,,
418,27C-R82,2,"        mm well, they they're really strong.",P,strong,['strong']
419,27C-R83,3,        I mean they're not too strong but when they lift this weight thing they become stronger.,I+F,"strong, stronger","['strong', 'stronger']"
420,27C-R90,6,        that's all I know.,I,,
421,27C-R116,Surfer,nan,,,
422,27C-R118,1,"        surfboard, guy.",L,,
423,27C-R120,2,        I don't know about these.,I,,
424,27C-R143,King,nan,,,
425,27C-R144,1,        um that's a king I think.,L+I,,
426,27C-R146,2,        but they're not alive right?,F,alive,"['alive', 'right']"
427,27C-R156,3,        a king.,,,
428,27C-R158,4,        I don't think they're alive but knights are.,I+T+F,,['alive']
429,27C-R160,5,"        but, and knights there's a castle, ⌈the knights rule⌉.",T+F,,
430,27C-R166,7,"        yeah, and if there if kings were alive they would have dark blond skin.",I+P+L+F,"alive, dark blond","['alive', 'dark', 'blond']"
431,27C-R167,8,        and they would have a crown like that.,P,,
432,27C-R168,9,        and they would have a blue cape and but that part would be like it.,P,blue,['blue']
433,27C-R169,10,        and they would have a necklace like that.,P,,
434,27C-R170,11,        and they would have a green stick like that.,P,green,['green']
435,27C-R171,12,        and they would have um a suit like that except they wouldn't have that.,P,,
436,27C-R172,13,"        but, and they would have that stripe but they wouldn't have that button.",P,,
437,27C-R173,14,        and they would have that belt but they wouldn't have the pants.,P,,
438,27C-R175,15,        they would have green striped with yellow and black stripes.,P,green yellow black,"['green', 'yellow', 'black']"
439,27C-R177,16,        of their pants.,P,,
440,27C-R178,17,        so that's all I know.,I,,
441,27C-R235,Police Officer,nan,,,
442,27C-R236,1,        oh this is the police.,L,,
443,27C-R238,2,"        they have guns but, they only use them for shooting.",P+F,,
444,27C-R240,3,        um real bad guys.,F,,['bad']
445,27C-R242,4,        and if someone does a bad thing to mother earth they lock him in jail.,F,,['bad']
446,27C-R249,7,        and um they have like these trucks and that's what they have on (th)em.,F,,
447,27C-R250,8,        except they have one on each side and they're all black.,F+P,black,['black']
448,27C-R252,9,        except they don't have those on (th)em.,F,,
449,27C-R255,10,        that's all I know.,I,,
450,31C-R2,Teacher,nan,,,
451,31C-R4,1,        teacher.,L,,
452,31C-R6,2,        she teaches.,P,,
453,31C-R11,4,        I don't actually know much about it either.,I,,['much']
454,31C-R18,7,        well I well I'm not gonna see my old teachers until I until the Mini Mash.,I+F+L,,['old']
455,31C-R20,8,"        I won't see my my um old teachers until the Mini Mash, in the fall.",L,old,['old']
456,31C-R23,9,"        spring, spring is gonna take a long time before it's done.",F,,['long']
457,31C-R25,10,        but I'm glad (be)cause I'm I was getting a on my on my last day of school I was getting a little bored of school.,I+F,,"['glad', 'last', 'little', 'bored']"
458,31C-R27,11,        but I am going to a new school.,I+F,,['new']
459,31C-R29,12,          name of school.,I+F,,
460,31C-R31,13,        uh my sister is always pulling my chair out.,I,,
461,31C-R33,14,        when I'm eating breakfast.,I,,
462,31C-R87,Witch,nan,,,
463,31C-R89,1,        witch.,L,,
464,31C-R91,2,        I don't know.,I,,
465,31C-R92,3,        it scares it's scary.,P,scary,['scary']
466,31C-R95,4,"        um, it shows up on Halloween.",F,,
467,31C-R118,Football Player,nan,,,
468,31C-R121,2,        football player.,L,,
469,31C-R123,3,"        um, I don't know.",I,,
470,31C-R125,5,        one time well today my while we were eating breakfast my sister fell out of her chair.,I,,
471,31C-R127,6,        and she fell head first.,I,,
472,31C-R166,Clown,nan,,,
473,31C-R168,1,        clown.,L,,
474,31C-R170,2,        it's funny.,P,funny,['funny']
475,31C-R173,3,        it wears big shoes.,P,,['big']
476,31C-R193,Pilot,nan,,,
477,31C-R195,1,        pilot.,L,,
478,31C-R199,3,"        and um, uh I don't know what anything else.",I,,
479,31C-R203,5,"        um, uh he's a good flier.",P,good,['good']
480,37C-R51,Police Officer,nan,,,
481,37C-R54,2,        person on a boat.,T,,
482,37C-R64,7,"        they can, put people in jail.",F,,
483,37C-R66,8,"        and they can, call the phone if there's trouble.",P+F,,
484,37C-R68,9,        like if someone stealed a bank.,F,,
485,37C-R69,10,        the money at the bank.,F,,
486,37C-R71,11,        or stealed the stuff at the store.,F,,
487,37C-R72,12,"        then, or at restaurants.",F,,
488,37C-R74,13,        they can do that.,F,,
489,37C-R75,14,        then the police can come.,F+L,,
490,37C-R77,15,        that's all that I know.,I,,
491,37C-R81,17,        let me think what else.,I,,
492,37C-R83,19,        if they steal the stuff at your house.,F,,
493,37C-R85,20,        and then the police men will come and take it to jail.,F+L,,
494,37C-R87,22,        you know what my dad has a job of?,I+T,,
